time,Profit
2020-05-21 15:30:00,0
2020-05-21 18:35:00,1
2020-05-21 23:50:00,0
2020-05-29 08:25:00,1
2020-05-30 09:10:00,1
2020-05-30 20:10:00,0
2020-05-30 21:10:00,1
2020-05-31 03:45:00,0
2020-05-31 09:05:00,1
2020-05-31 13:20:00,0
2020-05-31 15:00:00,1
2020-06-01 10:15:00,1
2020-06-01 15:05:00,1
2020-06-02 20:15:00,1
2020-06-04 04:55:00,0
2020-06-04 09:20:00,1
2020-06-05 06:35:00,0
2020-06-05 10:15:00,0
2020-06-05 19:35:00,0
2020-06-05 22:05:00,0
2020-06-08 08:20:00,1
2020-06-08 13:05:00,1
2020-06-09 00:25:00,1
2020-06-11 06:20:00,0
2020-06-11 14:15:00,1
2020-06-11 14:35:00,0
2020-06-11 15:55:00,0
2020-06-11 17:20:00,1
2020-06-23 01:30:00,1
2020-06-23 21:05:00,1
2020-07-22 01:00:00,1
2020-07-22 07:00:00,1
2020-07-22 08:00:00,1
2020-07-22 14:30:00,1
2020-07-23 05:15:00,1
2020-07-24 01:50:00,0
2020-07-24 05:20:00,1
2020-07-24 06:25:00,0
2020-07-24 07:25:00,0
2020-07-24 12:35:00,1
2020-07-24 22:10:00,1
2020-07-26 12:35:00,1
2020-07-26 18:20:00,1
2020-07-26 19:45:00,1
2020-07-27 08:00:00,1
2020-07-27 23:20:00,1
2020-07-28 03:00:00,1
2020-07-28 08:10:00,0
2020-07-28 16:45:00,1
2020-07-29 23:20:00,0
2020-07-31 00:50:00,0
2020-07-31 13:45:00,1
2020-08-01 00:35:00,1
2020-08-01 13:15:00,1
2020-08-01 18:40:00,1
2020-08-02 06:00:00,1
2020-08-02 09:20:00,1
2020-08-02 10:45:00,0
2020-08-02 12:35:00,1
2020-08-02 19:40:00,0
2020-08-02 21:40:00,1
2020-08-03 00:05:00,1
2020-08-03 10:00:00,1
2020-08-03 21:40:00,0
2020-08-03 22:50:00,1
2020-08-04 03:30:00,1
2020-08-04 09:00:00,0
2020-08-04 11:40:00,0
2020-08-04 13:20:00,1
2020-08-04 21:05:00,1
2020-08-05 00:35:00,0
2020-08-06 02:05:00,1
2020-08-06 04:35:00,1
2020-08-06 21:45:00,1
2020-08-07 04:35:00,1
2020-08-07 11:15:00,0
2020-08-07 12:25:00,1
2020-08-07 14:10:00,0
2020-08-07 14:20:00,1
2020-08-08 16:10:00,1
2020-08-09 01:50:00,1
2020-08-09 05:55:00,1
2020-08-09 09:55:00,1
2020-08-09 13:05:00,1
2020-08-09 14:50:00,1
2020-08-10 10:30:00,1
2020-08-10 20:50:00,0
2020-08-11 03:35:00,0
2020-08-11 06:30:00,0
2020-08-11 14:15:00,0
2020-08-11 16:10:00,0
2020-08-11 16:40:00,1
2020-08-11 20:05:00,0
2020-08-11 21:10:00,1
2020-08-12 02:15:00,1
2020-08-12 06:05:00,1
2020-08-12 17:25:00,1
2020-08-12 21:25:00,1
2020-08-13 02:45:00,0
2020-08-14 03:10:00,1
2020-08-14 21:05:00,1
2020-08-15 04:20:00,1
2020-08-15 12:00:00,0
2020-08-15 12:40:00,1
2020-08-15 19:35:00,1
2020-08-15 23:10:00,1
2020-08-16 07:40:00,0
2020-08-16 10:30:00,0
2020-08-17 01:20:00,1
2020-08-17 19:20:00,1
2020-08-17 23:45:00,1
2020-08-18 04:50:00,0
2020-08-18 12:00:00,1
2020-08-18 13:45:00,0
2020-08-18 14:15:00,0
2020-08-19 04:20:00,1
2020-08-19 14:50:00,0
2020-08-19 18:35:00,1
2020-08-20 02:50:00,1
2020-08-20 22:00:00,1
2020-08-21 01:35:00,1
2020-08-21 06:45:00,1
2020-08-21 10:00:00,0
2020-08-21 11:45:00,0
2020-08-21 16:50:00,0
2020-08-21 18:15:00,1
2020-08-21 20:55:00,0
2020-08-21 23:30:00,0
2020-08-23 03:35:00,0
2020-08-23 10:15:00,1
2020-08-23 21:25:00,0
2020-08-24 15:00:00,1
2020-08-25 02:10:00,0
2020-08-25 04:00:00,1
2020-08-25 06:10:00,0
2020-08-25 06:50:00,0
2020-08-25 07:30:00,1
2020-08-25 12:10:00,0
2020-08-25 13:40:00,0
2020-08-25 14:25:00,1
2020-08-25 17:00:00,0
2020-08-31 06:05:00,1
2020-08-31 07:30:00,1
2020-08-31 20:20:00,0
2020-09-02 00:15:00,0
2020-09-02 08:30:00,1
2020-09-02 10:30:00,0
2020-09-02 13:40:00,0
2020-09-02 16:25:00,1
2020-10-09 04:35:00,0
2020-10-09 21:30:00,1
2020-10-10 07:00:00,1
2020-10-10 09:50:00,1
2020-10-10 23:15:00,1
2020-10-11 04:40:00,1
2020-10-11 19:30:00,0
2020-10-11 19:40:00,1
2020-10-12 06:30:00,0
2020-10-12 23:10:00,0
2020-10-16 09:05:00,0
2020-10-16 19:55:00,0
2020-10-16 20:45:00,1
2020-10-17 00:15:00,1
2020-10-17 09:00:00,1
2020-10-17 14:40:00,1
2020-10-17 20:30:00,1
2020-10-18 20:00:00,1
2020-10-19 02:35:00,1
2020-10-19 18:45:00,1
2020-10-20 08:05:00,1
2020-10-20 20:05:00,1
2020-10-20 23:45:00,1
2020-10-21 07:40:00,1
2020-10-21 19:50:00,1
2020-10-22 02:25:00,1
2020-10-22 12:35:00,1
2020-10-22 21:50:00,1
2020-10-22 23:00:00,0
2020-10-24 00:30:00,1
2020-10-24 21:55:00,1
2020-10-25 05:45:00,1
2020-10-25 07:15:00,0
2020-10-25 10:30:00,1
2020-10-25 15:55:00,1
2020-10-25 22:25:00,1
2020-10-26 00:20:00,1
2020-10-26 08:25:00,1
2020-10-26 15:20:00,0
2020-10-26 17:35:00,1
2020-10-28 07:15:00,0
2020-10-28 11:10:00,0
2020-10-28 13:40:00,0
2020-10-28 15:05:00,0
2020-10-28 16:45:00,1
2020-10-28 21:30:00,1
2020-10-29 01:30:00,1
2020-10-29 07:30:00,0
2020-10-29 12:00:00,1
2020-10-29 21:40:00,1
2020-10-29 23:00:00,1
2020-10-30 00:10:00,1
2020-10-30 03:00:00,0
2020-10-30 06:55:00,1
2020-10-31 03:10:00,1
2020-10-31 15:15:00,1
2020-10-31 17:25:00,1
2020-11-01 00:40:00,0
2020-11-02 11:15:00,0
2020-11-02 11:45:00,0
2020-11-02 18:40:00,1
2020-11-02 23:55:00,0
2020-11-03 02:45:00,0
2020-11-03 06:05:00,1
2020-11-03 22:05:00,1
2020-11-04 01:00:00,0
2020-11-04 20:20:00,1
2020-11-05 17:35:00,1
2020-11-06 03:20:00,1
2020-11-06 08:45:00,0
2020-11-06 19:50:00,0
2020-11-07 04:35:00,0
2020-11-07 14:40:00,0
2020-11-07 16:20:00,1
2020-11-07 18:15:00,0
2020-11-07 19:15:00,1
2020-11-08 07:50:00,1
2020-11-08 19:25:00,1
2020-11-09 03:15:00,0
2020-11-09 13:15:00,0
2020-11-09 16:30:00,1
