profit,fees-total,transfer-volume-mean,supply-last-active-1-years-ago,block-height,total-addresses,total-addresses,price-drawdown-from-ath,utxos-total,utxos-total,circulating-supply,circulating-supply,utxo-value-spent-total,circulating-supply,circulating-supply,fees-median,transfer-volume-median,fees-mean,total-addresses,total-addresses,utxo-value-created-median,utxos-total,utxos-total
0,0.003262066,0.000761344,0.7453092700057764,0.6193758777330127,0.5415213682941553,0.5426946789667353,0.3350202699190393,0.7013481668717192,0.7013481668717192,0.7658146920929974,0.7658088426249843,0.002907389,0.7658146920929974,0.7658088426249843,0.007289751,0.000115439,0.001928249,0.5415213682941553,0.5426946789667353,0.002992218,0.7013481668717192,0.7013481668717192
0,0.001560529,0.002795595,0.7459744463332234,0.6193814617203706,0.5415282131412179,0.5427015386444816,0.3282197587212562,0.7013624719355676,0.7013624719355676,0.7658208027228963,0.7658149532082086,0.002835689,0.7658208027228963,0.7658149532082086,0.018206061849325605,0.00073749,0.003470167,0.5415282131412179,0.5427015386444816,0.009166814,0.7013624719355676,0.7013624719355676
0,0.001560529,0.002795595,0.7459744463332234,0.6193814617203706,0.5415282131412179,0.5427015386444816,0.3282197587212562,0.7013624719355676,0.7013624719355676,0.7658208027228963,0.7658149532082086,0.002835689,0.7658208027228963,0.7658149532082086,0.018206061849325605,0.00073749,0.003470167,0.5415282131412179,0.5427015386444816,0.009166814,0.7013624719355676,0.7013624719355676
1,0.003076528,0.007099323,0.7444808167570331,0.6195433973537483,0.5416949233922421,0.5428686101054749,0.3348443265459611,0.701734492,0.701734492,0.7659980109899673,0.7659921601217223,0.014121356380220723,0.7659980109899673,0.7659921601217223,0.016630889496164637,0.000625181,0.003488666,0.5416949233922421,0.5428686101054749,0.009233958,0.701734492,0.701734492
0,0.003402717,0.001100991,0.7442753496236627,0.6196327411514739,0.5417869755523482,0.5429608617143715,0.3281008476858339,0.7018240842029426,0.7018240842029426,0.7660957810683517,0.7660899294533166,0.003192628,0.7660957810683517,0.7660899294533166,0.012894434146806062,0.00034438,0.002647084,0.5417869755523482,0.5429608617143715,0.007013928,0.7018240842029426,0.7018240842029426
1,0.003338715,0.000740311,0.7438358789222088,0.6196606610882633,0.5418122196871028,0.5429861605454214,0.3307424059670616,0.7018873660933973,0.7018873660933973,0.7661263342178466,0.7661204823694399,0.003118371,0.7661263342178466,0.7661204823694399,0.011026206472126774,0.000251856,0.00178857,0.5418122196871028,0.5429861605454214,0.005466706,0.7018873660933973,0.7018873660933973
0,0.001738076,0.000654328,0.7442840798753261,0.6198030527658884,0.5419539432373796,0.5431281911671524,0.3303619047184052,0.7021829843348593,0.7021829843348593,0.7662821552802712,0.7662763022416672,0.001626917,0.7662821552802712,0.7662763022416672,0.010147040507571816,0.000199062,0.001577348,0.5419539432373796,0.5431281911671524,0.004654908,0.7021829843348593,0.7021829843348593
1,0.002821312,0.000958253,0.7442540503714381,0.6198225967216411,0.5419738080043758,0.5431480989750045,0.3325316044063229,0.7023248305442276,0.7023248305442276,0.7663035424849185,0.7662976892829536,0.003360865,0.7663035424849185,0.7662976892829536,0.010549991574659504,0.00020011,0.001815824,0.5419738080043758,0.5431480989750045,0.005023485,0.7023248305442276,0.7023248305442276
0,0.004877181,0.000932454,0.7442621761902724,0.620048748,0.5421421809893331,0.5433168367725654,0.34025590979288034,0.7026536693100858,0.7026536693100858,0.7665510229958277,0.7665451679035509,0.00462425,0.7665510229958277,0.7665451679035509,0.011612317115163412,0.000392048,0.002217827,0.5421421809893331,0.5433168367725654,0.008039595,0.7026536693100858,0.7026536693100858
0,0.004877181,0.000932454,0.7442621761902724,0.620048748,0.5421421809893331,0.5433168367725654,0.34025590979288034,0.7026536693100858,0.7026536693100858,0.7665510229958277,0.7665451679035509,0.00462425,0.7665510229958277,0.7665451679035509,0.011612317115163412,0.000392048,0.002217827,0.5421421809893331,0.5433168367725654,0.008039595,0.7026536693100858,0.7026536693100858
0,0.004877181,0.000932454,0.7442621761902724,0.620048748,0.5421421809893331,0.5433168367725654,0.34025590979288034,0.7026536693100858,0.7026536693100858,0.7665510229958277,0.7665451679035509,0.00462425,0.7665510229958277,0.7665451679035509,0.011612317115163412,0.000392048,0.002217827,0.5421421809893331,0.5433168367725654,0.008039595,0.7026536693100858,0.7026536693100858
1,0.004858452,0.001067583,0.7443784154282607,0.6201157560579282,0.5422272445405285,0.5434020846303796,0.3434660858084363,0.7027820298622995,0.7027820298622995,0.7666243505546162,0.7666184949022461,0.004359394,0.7666243505546162,0.7666184949022461,0.015019085227813879,0.000481481,0.002684559,0.5422272445405285,0.5434020846303796,0.008664367,0.7027820298622995,0.7027820298622995
0,0.00383285,0.001308618,0.7459488480024634,0.6201520519757544,0.5422857210652875,0.5434606878558278,0.3421468031275171,0.7028784335534524,0.7028784335534524,0.7666640696489595,0.7666582136932054,0.00251524,0.7666640696489595,0.7666582136932054,0.016630889496164637,0.00065616,0.0044981,0.5422857210652875,0.5434606878558278,0.00851544,0.7028784335534524,0.7028784335534524
1,0.003054863,0.00054539,0.7461596669682382,0.6202106838430117,0.5423656950012866,0.5435408350708113,0.3462393611489484,0.7028548583343563,0.7028548583343563,0.7667282312628987,0.7667223748170646,0.002218939,0.7667282312628987,0.7667223748170646,0.007546175,0.000213649,0.00169318,0.5423656950012866,0.5435408350708113,0.004825912,0.7028548583343563,0.7028548583343563
